FilePath,FaultType,FaultSize,SensorPosition,SamplingFreq,Load,RPM,DataNumber,ORPosition,BA_Length,DE_Length,FE_Length
data\source\12kHz_DE_data\B\0007\B007_0.mat,B,0007,DE,12000.0,0,1796.0,X118,NA,96000,96000,96000
data\source\12kHz_DE_data\B\0007\B007_1.mat,B,0007,DE,12000.0,1,1772.0,X119,NA,96000,96000,96000
data\source\12kHz_DE_data\B\0007\B007_2.mat,B,0007,DE,12000.0,2,1748.0,X120,NA,96000,96000,96000
data\source\12kHz_DE_data\B\0007\B007_3.mat,B,0007,DE,12000.0,3,1722.0,X121,NA,96000,96000,96000
data\source\12kHz_DE_data\B\0014\B014_0.mat,B,0014,DE,12000.0,0,1796.0,X185,NA,96000,96000,96000
data\source\12kHz_DE_data\B\0014\B014_1.mat,B,0014,DE,12000.0,1,1772.0,X186,NA,96000,96000,96000
data\source\12kHz_DE_data\B\0014\B014_2.mat,B,0014,DE,12000.0,2,1749.0,X187,NA,96000,96000,96000
data\source\12kHz_DE_data\B\0014\B014_3.mat,B,0014,DE,12000.0,3,1724.0,X188,NA,96000,96000,96000
data\source\12kHz_DE_data\B\0021\B021_0.mat,B,0021,DE,12000.0,0,1796.0,X222,NA,96000,96000,96000
data\source\12kHz_DE_data\B\0021\B021_1.mat,B,0021,DE,12000.0,1,1774.0,X223,NA,96000,96000,96000
data\source\12kHz_DE_data\B\0021\B021_2.mat,B,0021,DE,12000.0,2,1754.0,X224,NA,96000,96000,96000
data\source\12kHz_DE_data\B\0021\B021_3.mat,B,0021,DE,12000.0,3,1729.0,X225,NA,96000,96000,96000
data\source\12kHz_DE_data\B\0028\B028_0_(1797rpm).mat,B,0028,DE,12000.0,0,1797.0,X048,NA,0,96000,0
data\source\12kHz_DE_data\B\0028\B028_1_(1772rpm).mat,B,0028,DE,12000.0,1,1772.0,X049,NA,0,96000,0
data\source\12kHz_DE_data\B\0028\B028_2_(1750rpm).mat,B,0028,DE,12000.0,2,1750.0,X050,NA,0,96000,0
data\source\12kHz_DE_data\B\0028\B028_3_(1730rpm).mat,B,0028,DE,12000.0,3,1730.0,X051,NA,0,96000,0
data\source\12kHz_DE_data\IR\0007\IR007_0.mat,IR,0007,DE,12000.0,0,1797.0,X105,NA,96000,96000,96000
data\source\12kHz_DE_data\IR\0007\IR007_1.mat,IR,0007,DE,12000.0,1,1772.0,X106,NA,96000,96000,96000
data\source\12kHz_DE_data\IR\0007\IR007_2.mat,IR,0007,DE,12000.0,2,1748.0,X107,NA,96000,96000,96000
data\source\12kHz_DE_data\IR\0007\IR007_3.mat,IR,0007,DE,12000.0,3,1721.0,X108,NA,96000,96000,96000
data\source\12kHz_DE_data\IR\0014\IR014_0.mat,IR,0014,DE,12000.0,0,1796.0,X169,NA,96000,96000,96000
data\source\12kHz_DE_data\IR\0014\IR014_1.mat,IR,0014,DE,12000.0,1,1774.0,X170,NA,96000,96000,96000
data\source\12kHz_DE_data\IR\0014\IR014_2.mat,IR,0014,DE,12000.0,2,1752.0,X171,NA,96000,96000,96000
data\source\12kHz_DE_data\IR\0014\IR014_3.mat,IR,0014,DE,12000.0,3,1728.0,X172,NA,96000,96000,96000
data\source\12kHz_DE_data\IR\0021\IR021_0.mat,IR,0021,DE,12000.0,0,1797.0,X209,NA,96000,96000,96000
data\source\12kHz_DE_data\IR\0021\IR021_1.mat,IR,0021,DE,12000.0,1,1774.0,X210,NA,96000,96000,96000
data\source\12kHz_DE_data\IR\0021\IR021_2.mat,IR,0021,DE,12000.0,2,1752.0,X211,NA,96000,96000,96000
data\source\12kHz_DE_data\IR\0021\IR021_3.mat,IR,0021,DE,12000.0,3,1728.0,X212,NA,96000,96000,96000
data\source\12kHz_DE_data\IR\0028\IR028_0_(1797rpm).mat,IR,0028,DE,12000.0,0,1797.0,X056,NA,0,96000,0
data\source\12kHz_DE_data\IR\0028\IR028_1_(1772rpm).mat,IR,0028,DE,12000.0,1,1772.0,X057,NA,0,96000,0
data\source\12kHz_DE_data\IR\0028\IR028_2_(1750rpm).mat,IR,0028,DE,12000.0,2,1750.0,X058,NA,0,96000,0
data\source\12kHz_DE_data\IR\0028\IR028_3_(1730rpm).mat,IR,0028,DE,12000.0,3,1730.0,X059,NA,0,96000,0
data\source\12kHz_DE_data\OR\Centered\0007\OR007@6_0.mat,OR,0007,DE,12000.0,0,1796.0,X130,Centered,96000,96000,96000
data\source\12kHz_DE_data\OR\Centered\0007\OR007@6_1.mat,OR,0007,DE,12000.0,1,1773.0,X131,Centered,96000,96000,96000
data\source\12kHz_DE_data\OR\Centered\0007\OR007@6_2.mat,OR,0007,DE,12000.0,2,1750.0,X132,Centered,96000,96000,96000
data\source\12kHz_DE_data\OR\Centered\0007\OR007@6_3.mat,OR,0007,DE,12000.0,3,1725.0,X133,Centered,96000,96000,96000
data\source\12kHz_DE_data\OR\Centered\0014\OR014@6_0.mat,OR,0014,DE,12000.0,0,1796.0,X197,Centered,96000,96000,96000
data\source\12kHz_DE_data\OR\Centered\0014\OR014@6_1.mat,OR,0014,DE,12000.0,1,1772.0,X198,Centered,96000,96000,96000
data\source\12kHz_DE_data\OR\Centered\0014\OR014@6_2.mat,OR,0014,DE,12000.0,2,1749.0,X199,Centered,96000,96000,96000
data\source\12kHz_DE_data\OR\Centered\0014\OR014@6_3.mat,OR,0014,DE,12000.0,3,1723.0,X200,Centered,96000,96000,96000
data\source\12kHz_DE_data\OR\Centered\0021\OR021@6_0.mat,OR,0021,DE,12000.0,0,1796.0,X234,Centered,96000,96000,96000
data\source\12kHz_DE_data\OR\Centered\0021\OR021@6_1.mat,OR,0021,DE,12000.0,1,1771.0,X235,Centered,96000,96000,96000
data\source\12kHz_DE_data\OR\Centered\0021\OR021@6_2.mat,OR,0021,DE,12000.0,2,1748.0,X236,Centered,96000,96000,96000
data\source\12kHz_DE_data\OR\Centered\0021\OR021@6_3.mat,OR,0021,DE,12000.0,3,1721.0,X237,Centered,96000,96000,96000
data\source\12kHz_DE_data\OR\Opposite\0007\OR007@12_0.mat,OR,0007,DE,12000.0,0,1797.0,X156,Opposite,96000,96000,96000
data\source\12kHz_DE_data\OR\Opposite\0007\OR007@12_1.mat,OR,0007,DE,12000.0,1,1773.0,X158,Opposite,96000,96000,96000
data\source\12kHz_DE_data\OR\Opposite\0007\OR007@12_2.mat,OR,0007,DE,12000.0,2,1750.0,X159,Opposite,96000,96000,96000
data\source\12kHz_DE_data\OR\Opposite\0007\OR007@12_3.mat,OR,0007,DE,12000.0,3,1724.0,X160,Opposite,96000,96000,96000
data\source\12kHz_DE_data\OR\Opposite\0021\OR021@12_0.mat,OR,0021,DE,12000.0,0,1796.0,X258,Opposite,96000,96000,96000
data\source\12kHz_DE_data\OR\Opposite\0021\OR021@12_1.mat,OR,0021,DE,12000.0,1,1771.0,X259,Opposite,96000,96000,96000
data\source\12kHz_DE_data\OR\Opposite\0021\OR021@12_2.mat,OR,0021,DE,12000.0,2,1746.0,X260,Opposite,96000,96000,96000
data\source\12kHz_DE_data\OR\Opposite\0021\OR021@12_3.mat,OR,0021,DE,12000.0,3,1718.0,X261,Opposite,96000,96000,96000
data\source\12kHz_DE_data\OR\Orthogonal\0007\OR007@3_0.mat,OR,0007,DE,12000.0,0,1797.0,X144,Orthogonal,96000,96000,96000
data\source\12kHz_DE_data\OR\Orthogonal\0007\OR007@3_1.mat,OR,0007,DE,12000.0,1,1774.0,X145,Orthogonal,96000,96000,96000
data\source\12kHz_DE_data\OR\Orthogonal\0007\OR007@3_2.mat,OR,0007,DE,12000.0,2,1751.0,X146,Orthogonal,96000,96000,96000
data\source\12kHz_DE_data\OR\Orthogonal\0007\OR007@3_3.mat,OR,0007,DE,12000.0,3,1725.0,X147,Orthogonal,96000,96000,96000
data\source\12kHz_DE_data\OR\Orthogonal\0021\OR021@3_0.mat,OR,0021,DE,12000.0,0,1796.0,X246,Orthogonal,96000,96000,96000
data\source\12kHz_DE_data\OR\Orthogonal\0021\OR021@3_1.mat,OR,0021,DE,12000.0,1,1771.0,X247,Orthogonal,96000,96000,96000
data\source\12kHz_DE_data\OR\Orthogonal\0021\OR021@3_2.mat,OR,0021,DE,12000.0,2,1747.0,X248,Orthogonal,96000,96000,96000
data\source\12kHz_DE_data\OR\Orthogonal\0021\OR021@3_3.mat,OR,0021,DE,12000.0,3,1719.0,X249,Orthogonal,96000,96000,96000
data\source\12kHz_FE_data\B\0007\B007_0.mat,B,0007,FE,12000.0,0,1798.0,X282,NA,96000,96000,96000
data\source\12kHz_FE_data\B\0007\B007_1.mat,B,0007,FE,12000.0,1,1777.0,X283,NA,96000,96000,96000
data\source\12kHz_FE_data\B\0007\B007_2.mat,B,0007,FE,12000.0,2,1755.0,X284,NA,96000,96000,96000
data\source\12kHz_FE_data\B\0007\B007_3.mat,B,0007,FE,12000.0,3,1732.0,X285,NA,96000,96000,96000
data\source\12kHz_FE_data\B\0014\B014_0.mat,B,0014,FE,12000.0,0,1796.0,X286,NA,96000,96000,96000
data\source\12kHz_FE_data\B\0014\B014_1.mat,B,0014,FE,12000.0,1,1775.0,X287,NA,96000,96000,96000
data\source\12kHz_FE_data\B\0014\B014_2.mat,B,0014,FE,12000.0,2,1755.0,X288,NA,96000,96000,96000
data\source\12kHz_FE_data\B\0014\B014_3.mat,B,0014,FE,12000.0,3,1732.0,X289,NA,96000,96000,96000
data\source\12kHz_FE_data\B\0021\B021_0.mat,B,0021,FE,12000.0,0,1796.0,X290,NA,96000,96000,96000
