File Name,fs_inferred,fs_target,cls,size_in,load_hp,or_pos,DE_Mean,DE_RMS,DE_Peak,DE_Kurtosis,DE_Skewness,FE_Mean,FE_RMS,FE_Peak,FE_Kurtosis,FE_Skewness,BA_Mean,BA_RMS,BA_Peak,BA_Kurtosis,BA_Skewness,DE_FE_Correlation,DE_BA_Correlation,FE_BA_Correlation,DE_SpectralCentroid,FE_SpectralCentroid,BA_SpectralCentroid,DE_WaveletEnergy_aaa,DE_WaveletEnergy_aad,DE_WaveletEnergy_ada,DE_WaveletEnergy_add,DE_WaveletEnergy_daa,DE_WaveletEnergy_dad,DE_WaveletEnergy_dda,DE_WaveletEnergy_ddd,FE_WaveletEnergy_aaa,FE_WaveletEnergy_aad,FE_WaveletEnergy_ada,FE_WaveletEnergy_add,FE_WaveletEnergy_daa,FE_WaveletEnergy_dad,FE_WaveletEnergy_dda,FE_WaveletEnergy_ddd,BA_WaveletEnergy_aaa,BA_WaveletEnergy_aad,BA_WaveletEnergy_ada,BA_WaveletEnergy_add,BA_WaveletEnergy_daa,BA_WaveletEnergy_dad,BA_WaveletEnergy_dda,BA_WaveletEnergy_ddd,DE_FE_EnergyRatio_aaa,DE_BA_EnergyRatio_aaa,DE_FE_EnergyRatio_aad,DE_BA_EnergyRatio_aad,DE_FE_EnergyRatio_ada,DE_BA_EnergyRatio_ada,DE_FE_EnergyRatio_add,DE_BA_EnergyRatio_add,DE_FE_EnergyRatio_daa,DE_BA_EnergyRatio_daa,DE_FE_EnergyRatio_dad,DE_BA_EnergyRatio_dad,DE_FE_EnergyRatio_dda,DE_BA_EnergyRatio_dda,DE_FE_EnergyRatio_ddd,DE_BA_EnergyRatio_ddd,RPM,DE_FTF,DE_BPFO,DE_BPFI,DE_BSF,DE_rho_d_over_D,FE_FTF,FE_BPFO,FE_BPFI,FE_BSF,FE_rho_d_over_D,DE_FTF_peak_ord,DE_FTF_bandE_ord,DE_FTF_Eratio_ord,DE_FTF_harmE_M5_ord,DE_FTF_harmRatio_M5_ord,DE_FTF_SB_Q3_ord,DE_FTF_SBI_Q3_ord,DE_BPFO_peak_ord,DE_BPFO_bandE_ord,DE_BPFO_Eratio_ord,DE_BPFO_harmE_M5_ord,DE_BPFO_harmRatio_M5_ord,DE_BPFO_SB_Q3_ord,DE_BPFO_SBI_Q3_ord,DE_BPFI_peak_ord,DE_BPFI_bandE_ord,DE_BPFI_Eratio_ord,DE_BPFI_harmE_M5_ord,DE_BPFI_harmRatio_M5_ord,DE_BPFI_SB_Q3_ord,DE_BPFI_SBI_Q3_ord,DE_BSF_peak_ord,DE_BSF_bandE_ord,DE_BSF_Eratio_ord,DE_BSF_harmE_M5_ord,DE_BSF_harmRatio_M5_ord,DE_BSF_SB_Q3_ord,DE_BSF_SBI_Q3_ord,FE_FTF_peak_ord,FE_FTF_bandE_ord,FE_FTF_Eratio_ord,FE_FTF_harmE_M5_ord,FE_FTF_harmRatio_M5_ord,FE_FTF_SB_Q3_ord,FE_FTF_SBI_Q3_ord,FE_BPFO_peak_ord,FE_BPFO_bandE_ord,FE_BPFO_Eratio_ord,FE_BPFO_harmE_M5_ord,FE_BPFO_harmRatio_M5_ord,FE_BPFO_SB_Q3_ord,FE_BPFO_SBI_Q3_ord,FE_BPFI_peak_ord,FE_BPFI_bandE_ord,FE_BPFI_Eratio_ord,FE_BPFI_harmE_M5_ord,FE_BPFI_harmRatio_M5_ord,FE_BPFI_SB_Q3_ord,FE_BPFI_SBI_Q3_ord,FE_BSF_peak_ord,FE_BSF_bandE_ord,FE_BSF_Eratio_ord,FE_BSF_harmE_M5_ord,FE_BSF_harmRatio_M5_ord,FE_BSF_SB_Q3_ord,FE_BSF_SBI_Q3_ord
merged_B007_0.xlsx,12000,32000,B,0.007,0,,2.03E-06,0.135841211,0.601272195,2.970349158,0.002792612,-1.02E-06,0.102529251,0.44638696,2.723449883,-0.003923757,-1.02E-06,0.032038977,0.151069457,3.1770787,0.016067576,-0.018012104,-0.025226527,0.096235982,1116.932888,1208.708566,810.8732156,0.071211717,0.733990527,0.000978213,0.191238473,7.97E-06,0.001905153,2.41E-06,0.000665541,0.195698074,0.374648234,0.002020244,0.414831726,1.60E-05,0.004367741,0.000102878,0.008315119,0.617377171,0.222415353,0.000996566,0.155144751,6.54E-06,0.00170344,1.78E-06,0.002354394,0.363885629,0.115345562,1.959145834,3.300089298,0.484205346,0.981583735,0.461002523,1.232645459,0.498446643,1.217877281,0.436187266,1.118415341,0.023420795,1.350760818,0.080039921,0.282680588,1796,11.9226979,107.3042811,162.0957189,70.54453624,0.203383214,1763.308368,23323.97856,0.021647313,76700.23031,0.071186564,267620.3553,3.489172773,1008.318549,19337.01566,0.017946956,75356.74926,0.06993966,228906.3302,3.037635413,1287.034473,15745.01076,0.014613166,40778.49159,0.037847092,171533.3612,4.206466559,1765.643793,24035.76917,0.022307936,52233.33166,0.048478491,264071.9099,5.055620645,11.4237552,102.8137968,166.5862032,59.68223913,0.236720143,170.3717801,1180.847412,0.002159863,7120.846586,0.013024592,93696.02097,13.15798899,146.5866478,1148.371388,0.002100462,3475.92767,0.006357747,31726.12483,9.127383491,366.7658875,2283.266732,0.004176275,4797.05732,0.008774197,25964.74054,5.412639208,321.8214966,1602.604686,0.002931291,73717.71695,0.134835536,196154.1326,2.660881817
merged_B007_1.xlsx,12000,32000,B,0.007,1,,-1.50E-06,0.137058857,0.697356288,2.961365142,-0.003319411,1.73E-06,0.074902683,0.351894383,2.877400691,-0.005768809,-2.28E-06,0.02777719,0.12364774,2.938085312,0.010102503,-0.033890524,-0.01498845,-0.161660449,1131.933349,1227.59354,818.086309,0.050419694,0.747340059,0.000959943,0.198589199,8.01E-06,0.001991385,2.35E-06,0.000689358,0.230449526,0.370244879,0.002860988,0.383210627,2.26E-05,0.003866974,0.000149697,0.009194662,0.657788502,0.199587129,0.001131436,0.137605662,7.42E-06,0.001481308,1.67E-05,0.00238181,0.218788449,0.076650313,2.018502078,3.744430125,0.335528492,0.848429281,0.518224666,1.443176074,0.353593146,1.079167873,0.514972457,1.344342199,0.015726219,0.140689225,0.074973759,0.289426259,1772,11.76337454,105.8703709,159.9296291,69.60184756,0.203383214,492.1374602,9523.986822,0.008716613,72808.94694,0.066636738,248797.9823,3.417134745,1910.541672,22284.1497,0.020395063,69997.75434,0.064063858,253134.1558,3.61631824,1466.851578,21746.27534,0.019902785,42189.40331,0.038612895,183105.858,4.340091199,1127.388359,12977.84442,0.011877678,43372.13463,0.039695363,304351.7366,7.017218295,11.27109923,101.439893,164.360107,58.88470365,0.236720143,212.4358401,903.6106986,0.002836524,6825.522603,0.021425998,30146.65373,4.416753922,154.7426866,1015.377428,0.003187371,3951.919972,0.012405472,21175.80909,5.358359793,113.0175551,555.1878043,0.00174279,3099.326502,0.009729096,24695.58274,7.968048132,462.1698454,2485.301506,0.00780161,14009.4856,0.043977176,47593.74326,3.397251306
merged_B007_2.xlsx,12000,32000,B,0.007,2,,2.77E-06,0.146162577,0.641273908,2.83984354,0.006424047,8.98E-07,0.079718883,0.346107142,2.935053907,-0.006756064,1.83E-06,0.03155849,0.157550179,3.146206866,0.000942571,-0.035563112,-0.03750302,0.080873217,1123.599175,1180.919403,807.8564862,0.055955611,0.733070918,0.000806022,0.20733348,6.57E-06,0.002077521,2.42E-06,0.000747468,0.41139638,0.291692812,0.002592127,0.283891299,2.02E-05,0.002840398,0.000131564,0.00743518,0.734269382,0.165325744,0.000980877,0.09665099,6.59E-06,0.001035164,1.13E-05,0.001719914,0.136013863,0.076205835,2.513160722,4.434100229,0.31094992,0.821735786,0.730326996,2.145176996,0.324366653,0.995956698,0.731419037,2.006948927,0.01836023,0.213050097,0.100531241,0.43459608,1748,11.60405118,104.4364606,157.7635394,68.65915888,0.203383214,1426.711205,24204.79859,0.019775496,106313.6606,0.086859033,315416.1449,2.966844929,3007.63076,52907.4449,0.043225767,82615.90687,0.067497796,218859.427,2.649119706,2418.226879,49704.09004,0.040608603,73598.31941,0.060130362,170631.0729,2.318409908,1347.505423,17799.06066,0.014541962,41331.01984,0.033767743,345058.5807,8.348658757,11.11844326,100.0659893,162.1340107,58.08716816,0.236720143,186.8325655,1154.65969,0.003069553,5945.979351,0.015806819,26790.92233,4.505720714,159.8519432,762.4688491,0.002026951,3578.390597,0.00951281,25025.66549,6.993553335,125.3290212,547.2880844,0.001454913,3583.841326,0.0095273,15798.85852,4.40835882,424.3674777,2087.882006,0.005550435,8779.653982,0.023339873,66969.18157,7.627770036
merged_B007_3.xlsx,12000,32000,B,0.007,3,,3.50E-06,0.152623022,0.730452029,2.896755792,0.003456014,3.33E-06,0.118117946,0.464593377,2.713694884,-0.098278341,1.67E-06,0.040886101,0.164471097,2.870335546,0.034087674,0.099093084,0.089311499,0.430945475,1120.44777,1166.387505,773.8948474,0.09739836,0.709973761,0.000858522,0.189215346,6.98E-06,0.001894236,1.77E-06,0.000651028,0.677175296,0.19301283,0.001297782,0.124445245,9.04E-06,0.001241149,3.92E-05,0.002779465,0.825484121,0.117293044,0.000745977,0.054901712,4.69E-06,0.000585732,6.11E-06,0.000978616,0.143830351,0.117989381,3.678376005,6.052991185,0.661530481,1.150869873,1.520470675,3.446437984,0.771900161,1.489105971,1.526194937,3.233962128,0.04504731,0.288949909,0.234227746,0.665253509,1722,11.43145088,102.8830579,155.4169421,67.63791281,0.203383214,1515.650828,20299.85243,0.014798397,102777.8253,0.074924047,329393.8238,3.204911399,942.7950793,17295.10995,0.012607969,63668.83012,0.046413965,252980.3297,3.973378012,1928.669072,22163.30046,0.016156833,56916.0893,0.041491282,185224.2926,3.254339764,1243.22552,17754.4449,0.01294282,49202.55863,0.035868192,325246.445,6.610356332,10.95306595,98.57759358,159.7224064,57.22317138,0.236720143,388.9362139,1585.788001,0.002143883,10778.80002,0.014572238,88072.03138,8.170856792,99.93911663,393.7474828,0.000532321,9841.035708,0.013304442,42098.22349,4.277824483,139.9468239,465.2141454,0.000628939,7197.082923,0.009729989,26964.7994,3.746628972,368.6748081,2412.570979,0.003261639,26325.96459,0.035590997,292557.2639,11.11287918
merged_B014_0.xlsx,12000,32000,B,0.014,0,,2.46E-06,0.142351688,2.228631878,22.84283623,0.125722959,5.84E-06,0.077683983,0.653980918,3.700462939,0.001140503,2.55E-08,0.037702944,0.270357417,3.286544166,0.002427398,0.000368293,-0.046257001,-0.155952244,1097.576325,1197.887835,750.1521296,0.116609762,0.718523442,0.001330621,0.161425499,1.02E-05,0.001552521,4.26E-06,0.000543706,0.202690977,0.366506643,0.002363524,0.414799999,1.89E-05,0.004170839,0.000134306,0.009314804,0.549099351,0.23013999,0.000618451,0.21440163,3.92E-06,0.00237038,1.34E-06,0.003364935,0.575308105,0.212365507,1.960464989,3.122114677,0.562981769,2.151536274,0.389164657,0.752911717,0.53890113,2.600124831,0.372232408,0.654967248,0.031716485,3.171047461,0.058370068,0.16157985,1796,11.9226979,107.3042811,162.0957189,70.54453624,0.203383214,2800.42501,242500.3237,0.088921548,466204.767,0.170950905,1233463.613,2.645755043,814.2544366,32446.5538,0.011897707,58936.9148,0.02161136,618503.3518,10.49432862,558.2340201,11317.4457,0.004149952,28563.16378,0.010473721,243217.854,8.515088032,871.3304887,32525.18334,0.011926539,122597.7953,0.044954933,703058.2334,5.734672728,11.4237552,102.8137968,166.5862032,59.68223913,0.236720143,680.0700144,9129.319576,0.024832935,18667.74026,0.050778679,80484.16645,4.311403809,171.4326915,1512.21612,0.004113424,3842.040793,0.01045085,35270.64139,9.180183995,474.8059933,1854.028364,0.005043198,3684.956217,0.01002356,19684.08487,5.341741857,227.2110618,1852.29169,0.005038474,32365.06324,0.088037177,102317.0484,3.161342451
merged_B014_1.xlsx,12000,32000,B,0.014,1,,3.35E-07,0.134213584,1.377327572,10.6044346,-0.002925826,2.68E-06,0.058185827,0.337771267,3.350079183,0.010734487,3.33E-07,0.027747197,0.120913025,2.951426015,0.00512541,0.006987589,-0.014500186,-0.223206099,1115.507214,1256.873886,857.7355565,0.057426072,0.763415755,0.001214922,0.17565704,9.79E-06,0.001693528,3.15E-06,0.000579744,0.146312528,0.436591951,0.002430926,0.401651464,1.96E-05,0.003987114,0.00012434,0.008882049,0.454193317,0.28279056,0.000843692,0.255216151,6.01E-06,0.002788762,9.60E-06,0.00415191,0.392489098,0.126435308,1.748579545,2.699580053,0.499777413,1.440006296,0.437336984,0.688267726,0.498624698,1.628733637,0.424750367,0.607268836,0.02534393,0.328306513,0.065271462,0.139633143,1772,11.76337454,105.8703709,159.9296291,69.60184756,0.203383214,4254.091606,163265.3636,0.07284369,351449.9433,0.156805524,936628.0779,2.665039775,1068.433637,44298.54813,0.01976457,72079.90531,0.032159707,539915.3054,7.490510748,588.9987818,18228.41498,0.008132925,34034.97085,0.015185296,309491.1626,9.093328269,881.6981598,27922.07289,0.01245792,102091.0733,0.045549713,674639.1955,6.608209451,11.27109923,101.439893,164.360107,58.88470365,0.236720143,533.2554338,3015.211827,0.014097354,10386.27338,0.048560095,30494.74768,2.93606249,111.4653469,663.5750345,0.003102486,3000.88405,0.014030366,22857.1091,7.616791826,173.109153,652.8376471,0.003052284,2434.423487,0.01138193,15752.63802,6.470787893,191.7031831,1271.295561,0.005943829,11985.82249,0.056038644,38598.47027,3.220343895
merged_B014_2.xlsx,12000,32000,B,0.014,2,,1.25E-06,0.140132174,1.8975335,10.90819467,0.073483417,-1.70E-06,0.071995734,0.551396501,3.512335919,-0.012067682,9.09E-07,0.031387253,0.201292771,3.70886896,0.022338938,-0.009220514,-0.056993823,0.07021518,1074.747083,1165.840873,738.5119489,0.093025418,0.744195571,0.001408588,0.159275853,1.16E-05,0.001535573,3.73E-06,0.000543672,0.45850173,0.264917791,0.002444144,0.263853667,1.86E-05,0.002593634,0.000115134,0.007555326,0.62376004,0.213501193,0.000874923,0.157509955,6.12E-06,0.001711789,9.46E-06,0.00262652,0.202890003,0.149136545,2.809156638,3.485674068,0.576311365,1.609957502,0.603652223,1.011211342,0.624287181,1.893263126,0.592054473,0.897057018,0.03240248,0.394506619,0.071958834,0.20699348,1749,11.61068966,104.4962069,157.8537931,68.69843758,0.203383214,4769.003723,294044.4274,0.127228382,626599.0015,0.271119496,755884.5357,1.206328982,684.1170337,20185.32397,0.008733871,43780.1433,0.018942977,402498.074,9.193621665,688.8027089,17334.57787,0.007500398,33919.90529,0.014676608,230966.1436,6.809162396,663.3891337,29592.28969,0.012804117,79757.64591,0.034509874,669602.6696,8.395466817,11.12480392,100.1232353,162.2267647,58.1203988,0.236720143,656.9089891,5742.501197,0.017074083,19618.72111,0.058332015,47557.53275,2.424089342,119.7610612,801.5795447,0.002383323,2988.11341,0.008884508,26357.92506,8.820925259,137.7521969,601.2255098,0.001787614,2733.543514,0.008127599,16280.9362,5.955982087,761.2243952,4926.805247,0.014648788,11137.75625,0.033115704,70105.98145,6.294443863
merged_B014_3.xlsx,12000,32000,B,0.014,3,,-1.20E-06,0.132638479,1.800482846,16.33352276,0.040183993,-8.87E-07,0.124434041,0.848649427,2.747176634,-0.059817582,-6.65E-07,0.039981091,0.199391178,3.509023902,0.027421759,-0.191032476,-0.018109138,-0.020444225,1070.764762,1135.570079,759.2999349,0.173216408,0.676224546,0.001214099,0.147387699,9.43E-06,0.001431468,3.34E-06,0.00051301,0.764195603,0.132311963,0.001235686,0.098365723,8.16E-06,0.000955687,3.73E-05,0.002889906,0.771437107,0.140849755,0.000726864,0.08462159,4.50E-06,0.000916277,6.21E-06,0.001437695,0.226665015,0.224537304,5.110834509,4.801034597,0.98252994,1.670324394,1.498364418,1.7417269,1.155284566,2.093907685,1.497841569,1.56226598,0.089678537,0.538281042,0.17751776,0.35682776,1724,11.44472782,103.0025504,155.5974496,67.7164702,0.203383214,5118.811791,216258.8504,0.095660623,470575.3088,0.208155768,820619.9634,1.743865324,679.7095979,25608.87683,0.011327911,49263.14549,0.021791215,461837.5434,9.374909759,509.1446286,16659.75122,0.007369327,29339.83882,0.012978277,240706.9202,8.204098248,1112.1151,28731.97154,0.012709391,90275.2151,0.039932624,679962.1634,7.53210239,10.96578728,98.69208556,159.9079144,57.28963267,0.236720143,536.9836987,3001.49444,0.003657379,26127.71616,0.031837131,360668.4423,13.80405543,194.8175282,1178.636259,0.001436191,5022.925623,0.006120533,40708.75132,8.10458971,173.3469404,936.6855687,0.00114137,3764.670743,0.004587325,24581.81225,6.529604826,1225.978874,16520.9303,0.020131075,23650.40265,0.028818476,690450.6436,29.19403334
merged_B021_0.xlsx,12000,32000,B,0.021,0,,2.02E-06,0.136310231,1.687870531,9.458228902,0.003258005,-3.01E-06,0.092449833,0.651311428,3.006700853,-0.01065153,1.08E-06,0.03971086,0.178167504,2.943795536,-0.003100154,0.018329508,0.105297698,0.075901236,1164.767253,1300.181781,847.8388096,0.071886717,0.725566664,0.001052027,0.198352352,8.50E-06,0.00198087,1.01E-05,0.00114278,0.201231381,0.352653393,0.002716389,0.428560803,2.19E-05,0.004395131,0.000198826,0.010222183,0.585053997,0.220564308,0.000689657,0.188672159,4.44E-06,0.002069795,2.10E-06,0.002943544,0.357234131,0.122871936,2.05744983,3.289592368,0.387288851,1.525435193,0.46283363,1.05130695,0.388194441,1.916307121,0.450696472,0.957036879,0.050746268,4.793707509,0.111794138,0.388232742,1796,11.9226979,107.3042811,162.0957189,70.54453624,0.203383214,697.5888027,18830.77654,0.01097468,132598.7136,0.077279262,713185.2773,5.378523351,803.4079742,11654.35335,0.006792221,46024.94099,0.02682359,257254.9088,5.589467434,3348.496215,62577.4337,0.036470474,94159.15492,0.054876475,291503.4186,3.095858484,851.3770034,36518.53505,0.021283204,145210.6338,0.084629559,409544.418,2.820347293,11.4237552,102.8137968,166.5862032,59.68223913,0.236720143,225.7621975,1553.566994,0.003384253,11872.87736,0.025863594,49396.55992,4.160453985,168.4334767,912.2491391,0.001987222,3670.897104,0.007996595,23309.0415,6.349685333,232.76927,1098.556314,0.002393069,3685.053083,0.008027432,29254.90851,7.938802467,842.2807509,4599.778193,0.010020048,26751.98102,0.05827588,90458.04652,3.381358803
merged_B021_1.xlsx,12000,32000,B,0.021,1,,1.20E-06,0.120988582,1.467751165,9.233758157,0.001658134,3.11E-06,0.07144389,0.616906861,3.755078566,-0.012166929,1.05E-06,0.02964499,0.173029167,3.096895769,0.019824993,0.003622777,0.054980999,-0.202723332,1169.839281,1322.152153,860.8576126,0.060514974,0.72812224,0.00108147,0.206874222,8.87E-06,0.002075043,1.93E-05,0.001303895,0.209078207,0.348941,0.005322851,0.418498587,4.27E-05,0.003946398,0.000390628,0.013779628,0.552929575,0.238630069,0.001062863,0.201591333,7.63E-06,0.002164957,2.75E-05,0.00358604,0.289437025,0.109444271,2.086662901,3.051259395,0.203174889,1.017505973,0.49432478,1.026205933,0.207687068,1.162371004,0.525806937,0.958468754,0.049375567,0.700512039,0.09462481,0.363602926,1774,11.77665149,105.9898634,160.1101366,69.68040495,0.203383214,713.2404368,14779.08821,0.011402319,102628.0291,0.079179276,537842.6006,5.240698914,646.1121655,13613.29033,0.010502886,49329.58026,0.038058613,196344.6095,3.980261102,1806.507422,32323.05404,0.024937788,65060.19726,0.050195052,249840.929,3.840150193,1199.665962,30853.50224,0.023804003,99254.76916,0.076576748,322911.1627,3.253356644,11.28382056,101.554385,164.545615,58.95116494,0.236720143,183.752565,1529.468304,0.004672036,15084.04672,0.046076936,38530.26217,2.554371708,164.776747,875.3250441,0.002673838,3072.402853,0.009385208,21534.17119,7.008902225,125.2674907,637.4461277,0.001947194,2795.094379,0.008538119,21104.63395,7.550597971,568.3149438,2839.63176,0.008674166,10086.24207,0.030810242,52803.39577,5.235190213
